City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,altamira,-3.2033,-52.2064,74.39,95,98,1.7,BR,1675809099
142,bom despacho,-19.7364,-45.2522,72.46,81,97,0.47,BR,1675808916
143,iqaluit,63.7506,-68.5145,-25.31,67,75,6.91,CA,1675809143
144,castro,-24.7911,-50.0119,64.6,92,11,5.61,BR,1675809148
145,naze,28.3667,129.4833,59.92,72,82,12.95,JP,1675809151
146,severo-kurilsk,50.6789,156.125,23.02,60,49,9.62,RU,1675809155
147,samfya,-11.3649,29.5565,63.32,93,100,6.02,ZM,1675809156
148,bell ville,-32.6259,-62.6887,93.67,24,0,6.2,AR,1675809156
149,mul,20.0667,79.6667,66.45,38,7,3.18,IN,1675809157
150,abu dhabi,24.4667,54.3667,78.82,31,0,5.75,AE,1675809052
151,snasa,64.2457,12.3778,38.61,97,99,4.9,NO,1675809158
152,kuytun,54.3419,101.5036,-10.21,100,100,3.42,RU,1675809159
153,gladstone,-23.85,151.25,80.78,69,30,13.8,AU,1675809159
154,kurumkan,54.3,110.3,-7.35,90,42,4.29,RU,1675809160
155,olinda,-8.0089,-34.8553,82.13,54,20,9.22,BR,1675809119
156,plerin,48.5425,-2.7798,34.45,77,0,2.3,FR,1675809161
157,along,28.1667,94.7667,54.36,89,100,1.79,IN,1675809161
158,rocha,-34.4833,-54.3333,73.06,68,29,10.36,UY,1675809161
159,ormara,25.2088,64.6357,70.3,69,2,7.78,PK,1675809162
160,comodoro rivadavia,-45.8667,-67.5,76.86,23,0,9.22,AR,1675809162
161,mabaruma,8.2,-59.7833,72.54,96,22,4.03,GY,1675809163
162,bilibino,68.0546,166.4372,-39.44,100,100,0.22,RU,1675809163
163,butaritari,3.0707,172.7902,81.1,80,100,22.17,KI,1675809165
164,asmara,15.3333,38.9333,53.26,90,78,7.63,ER,1675809165
165,leshukonskoye,64.8989,45.7622,28.8,95,100,11.07,RU,1675809166
166,shenjiamen,29.9576,122.298,47.79,76,100,12.15,CN,1675809166
167,talara,-4.5772,-81.2719,84.96,54,0,11.5,PE,1675809167
168,bowen,-20.0167,148.2333,80.11,80,93,17.54,AU,1675809167
169,tuktoyaktuk,69.4541,-133.0374,-27.4,75,100,0.0,CA,1675809168
170,port moresby,-9.4431,147.1797,76.42,94,100,11.5,PG,1675809142
171,cherskiy,68.75,161.3,-32.31,98,100,5.5,RU,1675809168
172,san quintin,30.4833,-115.95,63.54,41,0,10.56,MX,1675809169
173,padang,-0.9492,100.3543,75.63,68,99,3.51,ID,1675809169
174,mgandu,-5.95,34.1333,60.37,88,85,3.09,TZ,1675809170
175,dudinka,69.4058,86.1778,-13.65,100,94,2.91,RU,1675809161
176,pisco,-13.7,-76.2167,80.65,65,0,20.71,PE,1675809171
177,san cristobal,7.7669,-72.225,75.38,62,27,1.92,VE,1675809071
178,norman wells,65.282,-126.8329,-7.56,71,75,0.0,CA,1675809017
179,geraldton,-28.7667,114.6,66.61,88,100,9.22,AU,1675809173
180,dharmadam,11.7833,75.4333,72.84,85,55,3.38,IN,1675809173
181,ulladulla,-35.35,150.4667,65.59,90,100,5.08,AU,1675809173
182,souillac,-20.5167,57.5167,79.18,78,75,10.36,MU,1675809174
183,pangody,65.85,74.4859,-12.73,100,98,8.66,RU,1675809175
184,bandarbeyla,9.4942,50.8122,75.94,77,56,13.6,SO,1675809175
185,bathsheba,13.2167,-59.5167,79.41,73,40,16.11,BB,1675809175
186,namibe,-15.1961,12.1522,70.5,75,75,9.24,AO,1675809176
187,porto santo,33.072,-16.3415,57.58,82,75,8.05,PT,1675809176
188,kangaba,11.9333,-8.4167,82.06,16,52,2.73,ML,1675809177
189,kaka,37.3482,59.6143,56.34,39,64,6.29,TM,1675809177
190,sulangan,11.1373,123.7228,79.12,80,100,13.15,PH,1675809177
191,teguise,29.0605,-13.564,57.42,67,20,2.3,ES,1675809178
192,torbay,47.6666,-52.7314,24.58,84,75,24.0,CA,1675809178
193,syracuse,37.0881,15.2792,47.57,58,100,16.51,IT,1675809066
194,east london,-33.0153,27.9116,71.26,86,100,10.87,ZA,1675809166
195,saint anthony,45.0205,-93.218,35.89,65,0,12.66,US,1675809179
196,mindelo,16.8901,-24.9804,67.55,52,40,21.85,CV,1675809180
197,saskylakh,71.9167,114.0833,-29.29,99,99,1.66,RU,1675809180
198,togur,58.3631,82.8265,5.25,97,98,5.14,RU,1675809181
199,suntar,62.1444,117.6319,-28.91,98,100,1.92,RU,1675809181
200,monduli,-3.3,36.45,65.73,70,100,4.81,TZ,1675809182
201,turukhansk,65.8167,87.9833,3.06,96,100,6.67,RU,1675809183
202,aksu,41.1231,80.2644,23.54,72,3,5.35,CN,1675809186
203,coquimbo,-29.9533,-71.3436,65.93,82,100,11.5,CL,1675809188
204,daru,-9.0763,143.2092,79.09,84,99,11.88,PG,1675809190
205,vestmannaeyjar,63.4427,-20.2734,31.98,58,100,34.11,IS,1675809191
206,buala,-8.145,159.5921,81.16,87,97,9.69,SB,1675809192
207,akcaabat,41.0212,39.5715,40.87,60,75,5.75,TR,1675809194
208,moerai,-22.4333,-151.3333,79.74,77,62,11.43,PF,1675809196
209,nikolskoye,59.7035,30.7861,30.09,88,99,10.07,RU,1675809198
210,kamaishi,39.2667,141.8833,35.31,85,100,9.66,JP,1675809199
211,dondo,-19.6094,34.7431,81.91,96,31,3.27,MZ,1675809200
212,viedma,-40.8135,-62.9967,72.18,63,15,12.39,AR,1675809210
213,busayra,30.7376,35.6078,35.15,85,64,15.66,JO,1675809214
214,huaihua,27.5494,109.9592,46.2,97,99,3.58,CN,1675809214
215,bethel,41.3712,-73.414,37.36,66,0,6.91,US,1675809214
216,rio grande,-32.035,-52.0986,84.31,69,6,15.79,BR,1675809215
217,yellowknife,62.456,-114.3525,-1.68,78,75,8.05,CA,1675809170
218,flagstaff,35.1981,-111.6513,44.53,40,0,16.11,US,1675809001
219,kutum,14.2,24.6667,56.62,33,14,10.38,SD,1675809216
220,freetown,8.484,-13.2299,75.76,69,56,8.08,SL,1675809216
221,surt,31.2089,16.5887,54.34,64,93,14.47,LY,1675809216
222,mount isa,-20.7333,139.5,82.17,69,75,9.22,AU,1675809217
223,dodge city,37.7528,-100.0171,55.24,35,0,16.11,US,1675809094
224,sabang,5.8933,95.3214,81.0,74,90,12.62,ID,1675809218
225,vao,-22.6667,167.4833,79.57,71,39,12.53,NC,1675809219
226,yenisehir,40.2644,29.6531,32.05,86,75,13.8,TR,1675809219
227,cao bang,22.6667,106.25,62.31,99,100,2.06,VN,1675809220
228,vadso,70.0744,29.7487,32.88,86,75,13.8,NO,1675809220
229,taoudenni,22.6783,-3.9836,66.81,20,90,11.36,ML,1675809221
230,college,64.8569,-147.8028,13.21,78,75,0.0,US,1675809222
231,tiksi,71.6872,128.8694,-27.26,100,100,4.29,RU,1675809222
232,loma bonita,8.3833,-80.1667,87.35,51,20,11.5,PA,1675809223
233,marawi,7.9986,124.2928,64.08,90,93,1.36,PH,1675809223
234,bagn,60.8225,9.5521,19.87,97,88,4.23,NO,1675809224
235,hofn,64.2539,-15.2082,32.97,60,100,26.17,IS,1675809224
236,mogadishu,2.0371,45.3438,76.46,85,38,18.45,SO,1675809224
237,pio xii,-3.8325,-45.1525,74.17,96,100,3.67,BR,1675809225
238,ust-maya,60.4167,134.5333,-33.88,99,100,1.05,RU,1675809225
239,cabra,37.4725,-4.4421,46.13,90,100,1.34,ES,1675809226
240,atar,20.5169,-13.0499,62.56,23,94,12.17,MR,1675809226
241,san juan,-31.5375,-68.5364,98.51,15,0,10.49,AR,1675809219
242,egvekinot,66.3167,-179.1667,-21.75,87,98,8.66,RU,1675809227
243,mount gambier,-37.8333,140.7667,62.73,62,4,9.51,AU,1675809227
244,krasnoselkup,65.7,82.4667,-18.13,100,96,9.06,RU,1675809228
245,san carlos de bariloche,-41.1456,-71.3082,78.55,24,20,19.57,AR,1675809222
246,saint george,37.1041,-113.5841,54.25,33,0,1.01,US,1675808969
247,timizart,36.8,4.2667,49.1,64,100,5.59,DZ,1675809228
248,maues,-3.3836,-57.7186,74.64,97,97,2.55,BR,1675809229
249,caconda,-13.7333,15.0667,58.48,69,70,3.4,AO,1675809229
250,ruidoso,33.3317,-105.673,36.27,87,100,9.22,US,1675809229
251,zhigansk,66.7697,123.3711,-51.39,99,96,5.14,RU,1675809230
252,sokoni,-6.4333,39.55,81.05,78,98,12.73,TZ,1675809230
253,nouadhibou,20.931,-17.0347,64.38,59,0,19.57,MR,1675809230
254,ishigaki,24.3448,124.1572,68.13,83,100,12.66,JP,1675809231
255,huilong,31.8111,121.655,41.94,91,99,7.76,CN,1675809231
256,bambous virieux,-20.3428,57.7575,79.05,78,75,10.36,MU,1675809232
257,pochutla,15.7432,-96.4661,85.82,44,2,7.49,MX,1675809232
258,sokolovo,52.5318,84.7896,15.33,97,100,4.85,RU,1675809232
259,villamontes,-21.25,-63.5,79.05,62,50,3.96,BO,1675809233
260,north bend,43.4065,-124.2243,54.91,93,100,17.27,US,1675809064
261,vila franca do campo,37.7167,-25.4333,55.81,82,83,11.88,PT,1675809233
262,wakkanai,45.4094,141.6739,25.79,59,100,16.13,JP,1675809234
263,yumen,40.2833,97.2,26.06,57,100,12.35,CN,1675809234
264,manama,26.2154,50.5832,67.98,69,0,17.27,BH,1675809235
265,tilichiki,60.4667,166.1,-24.59,92,39,9.57,RU,1675809199
266,beamsville,43.1668,-79.4829,49.05,77,65,11.5,CA,1675808980
267,wattegama,6.7989,81.4808,71.01,95,83,4.41,LK,1675809235
268,xiamen,24.4798,118.0819,59.25,88,100,2.24,CN,1675809236
269,barreirinha,-2.7933,-57.07,76.42,94,94,0.31,BR,1675809237
270,talnakh,69.4865,88.3972,-9.04,98,99,6.17,RU,1675809164
271,conselheiro lafaiete,-20.6603,-43.7861,66.87,93,97,2.42,BR,1675809015
272,louis trichardt,-23.0439,29.9032,65.44,88,21,5.35,ZA,1675809238
273,pokhara,28.2333,83.9833,52.7,60,83,5.88,NP,1675809238
274,muisne,0.6,-80.0333,79.54,82,8,7.92,EC,1675809239
275,lambarene,-0.7001,10.2406,76.3,93,95,3.62,GA,1675809239
276,namatanai,-3.6667,152.4333,81.52,77,100,4.9,PG,1675809239
277,mabamba,-3.5983,30.5019,60.49,95,84,1.43,TZ,1675809240
278,moose factory,51.2585,-80.6094,15.8,79,100,14.97,CA,1675809240
279,cherrapunji,25.3,91.7,44.89,56,2,4.12,IN,1675809103
280,skelleftea,64.7507,20.9528,33.01,93,28,5.75,SE,1675809241
281,rusape,-18.5278,32.1284,64.04,76,59,3.94,ZW,1675809241
282,hovd,48.0056,91.6419,-0.36,77,30,0.98,MN,1675809241
283,longyearbyen,78.2186,15.6401,21.04,93,100,23.02,SJ,1675809243
284,ewa beach,21.3156,-158.0072,81.84,68,100,12.66,US,1675809244
285,muborak,39.2553,65.1528,47.59,40,93,12.03,UZ,1675809246
286,hamilton,39.1834,-84.5333,55.42,80,100,9.22,US,1675808981
287,loding,67.3,14.75,42.71,85,75,27.63,NO,1675809249
288,garowe,8.4054,48.4845,65.91,88,19,8.21,SO,1675809250
289,tuatapere,-46.1333,167.6833,54.57,63,66,14.83,NZ,1675809251
290,benemerito de las americas,16.5167,-90.6439,81.23,65,74,1.83,MX,1675809252
291,touros,-5.1989,-35.4608,79.88,67,70,15.99,BR,1675809253
